,지역,분기,전체 점포수,프랜차이즈 점포수,일반 점포수,길단위 유동인구,주거 인구,직장 인구,개업수,폐업수,개업률,폐업률
72,동작구,2021-3,15641,1512,14129,46377,224.0,44.0,288,350,1.8,2.2
73,관악구,2021-3,19728,1865,17863,41769,166.0,25.0,496,482,2.5,2.4
74,서초구,2021-3,36174,2488,33686,19524,89.0,121.0,671,658,1.9,1.8
75,강남구,2021-3,55833,4163,51670,33489,141.0,293.0,1267,1173,2.3,2.1
76,송파구,2021-3,37411,3074,34337,35795,199.0,119.0,895,783,2.4,2.1
77,강동구,2021-3,21116,1935,19181,44374,180.0,29.0,531,434,2.5,2.1
78,서울시 전체,2021-4,572605,45513,527092,36238,159.0,79.0,13582,12532,2.4,2.2
79,종로구,2021-4,24694,1482,23212,20357,63.0,99.0,434,459,1.8,1.9
80,중구,2021-4,37465,1898,35567,45521,126.0,336.0,448,657,1.2,1.8
81,용산구,2021-4,18752,1152,17600,26106,108.0,83.0,399,337,2.1,1.8
82,성동구,2021-4,17279,1343,15936,39027,177.0,49.0,463,360,2.7,2.1
83,광진구,2021-4,18884,1628,17256,50823,196.0,46.0,486,505,2.6,2.7
84,동대문구,2021-4,20857,1478,19379,66054,236.0,55.0,431,425,2.1,2.0
85,중랑구,2021-4,16280,1298,14982,51360,216.0,22.0,454,405,2.8,2.5
86,성북구,2021-4,17039,1531,15508,42405,177.0,45.0,405,388,2.4,2.3
87,강북구,2021-4,13400,1054,12346,34563,130.0,12.0,337,327,2.5,2.4
88,도봉구,2021-4,11734,1001,10733,28760,156.0,17.0,280,268,2.4,2.3
89,노원구,2021-4,18211,1811,16400,25559,147.0,16.0,485,436,2.7,2.4
90,은평구,2021-4,18472,1592,16880,37242,154.0,16.0,517,435,2.8,2.4
91,서대문구,2021-4,14822,1462,13360,52339,180.0,38.0,366,351,2.5,2.4
92,마포구,2021-4,28580,2324,26256,41964,151.0,58.0,847,696,3.0,2.4
93,양천구,2021-4,18519,1637,16882,45316,254.0,78.0,495,416,2.7,2.2
94,강서구,2021-4,26600,2561,24039,25879,135.0,35.0,862,722,3.2,2.7
95,구로구,2021-4,22124,1787,20337,35457,200.0,70.0,468,453,2.1,2.0
96,금천구,2021-4,15635,1304,14331,30469,183.0,100.0,370,305,2.4,2.0
97,영등포구,2021-4,27054,2216,24838,44579,176.0,185.0,588,555,2.2,2.1
98,동작구,2021-4,15552,1484,14068,46113,224.0,44.0,331,403,2.1,2.6
99,관악구,2021-4,19773,1860,17913,41614,166.0,25.0,574,522,2.9,2.6
100,서초구,2021-4,36098,2461,33637,19960,89.0,121.0,655,710,1.8,2.0
101,강남구,2021-4,56120,4158,51962,34124,141.0,293.0,1375,1067,2.5,1.9
102,송파구,2021-4,37495,3060,34435,35691,199.0,119.0,935,814,2.5,2.2
103,강동구,2021-4,21166,1931,19235,43748,180.0,29.0,577,516,2.7,2.4
104,서울시 전체,2022-1,575518,45583,529935,36420,159.0,79.0,11421,8227,2.0,1.4
105,종로구,2022-1,24771,1469,23302,19747,63.0,99.0,396,304,1.6,1.2
106,중구,2022-1,37337,1878,35459,19747,126.0,336.0,348,444,0.9,1.2
107,용산구,2022-1,18868,1158,17710,25927,108.0,83.0,351,227,1.9,1.2
