,지역,분기,전체 점포수,길단위 유동인구,개업수,폐업수,개업률,폐업률
94,강서구,2021-4,26600,25879,862,722,3.2,2.7
95,구로구,2021-4,22124,35457,468,453,2.1,2.0
96,금천구,2021-4,15635,30469,370,305,2.4,2.0
97,영등포구,2021-4,27054,44579,588,555,2.2,2.1
98,동작구,2021-4,15552,46113,331,403,2.1,2.6
99,관악구,2021-4,19773,41614,574,522,2.9,2.6
100,서초구,2021-4,36098,19960,655,710,1.8,2.0
101,강남구,2021-4,56120,34124,1375,1067,2.5,1.9
102,송파구,2021-4,37495,35691,935,814,2.5,2.2
103,강동구,2021-4,21166,43748,577,516,2.7,2.4
104,서울시 전체,2022-1,575518,36420,11421,8227,2.0,1.4
105,종로구,2022-1,24771,19747,396,304,1.6,1.2
106,중구,2022-1,37337,19747,348,444,0.9,1.2
107,용산구,2022-1,18868,25927,351,227,1.9,1.2
108,성동구,2022-1,17381,38730,374,259,2.2,1.5
109,광진구,2022-1,19023,51972,425,276,2.2,1.5
110,동대문구,2022-1,20946,65974,386,275,1.8,1.3
111,중랑구,2022-1,16380,51985,365,254,2.2,1.6
112,성북구,2022-1,17133,42234,361,266,2.1,1.6
113,강북구,2022-1,13480,34857,298,209,2.2,1.6
114,도봉구,2022-1,11820,28954,266,174,2.3,1.5
115,노원구,2022-1,18307,25577,379,275,2.1,1.5
116,은평구,2022-1,18606,37964,439,302,2.4,1.6
117,서대문구,2022-1,14914,52472,292,198,2.0,1.2
118,마포구,2022-1,28815,41790,679,436,2.4,1.5
119,양천구,2022-1,18644,45985,414,287,2.2,1.5
120,강서구,2022-1,26841,26258,749,496,2.8,1.8
121,구로구,2022-1,22226,35906,403,287,1.8,1.3
122,금천구,2022-1,15708,30785,293,211,1.9,1.3
123,영등포구,2022-1,27197,45092,540,405,2.0,1.5
124,동작구,2022-1,15636,46606,292,195,1.9,1.2
125,관악구,2022-1,19848,42401,419,334,2.1,1.7
126,서초구,2022-1,36220,19786,617,469,1.7,1.3
127,강남구,2022-1,56417,33895,1100,780,1.9,1.4
128,송파구,2022-1,37686,36290,772,556,2.0,1.5
129,강동구,2022-1,21314,43742,463,308,2.2,1.4
130,서울시 전체,2022-2,577194,36608,13730,9001,2.4,1.6
131,종로구,2022-2,24807,21203,450,302,1.8,1.2
132,중구,2022-2,37212,47546,437,388,1.2,1.0
133,용산구,2022-2,18969,26575,438,271,2.3,1.4
134,성동구,2022-2,17463,38776,475,295,2.7,1.7
135,광진구,2022-2,19076,52125,498,334,2.6,1.8
136,동대문구,2022-2,21022,67266,501,302,2.4,1.4
137,중랑구,2022-2,16466,51104,439,274,2.7,1.7
138,성북구,2022-2,17176,43375,415,233,2.4,1.4
139,강북구,2022-2,13526,34279,373,241,2.8,1.8
140,도봉구,2022-2,11843,28677,308,226,2.6,1.9
141,노원구,2022-2,18388,25312,459,292,2.5,1.6
142,은평구,2022-2,18677,37219,485,315,2.6,1.7
143,서대문구,2022-2,14957,53464,350,245,2.3,1.6
144,마포구,2022-2,29030,42779,893,542,3.1,1.9
145,양천구,2022-2,18705,45514,491,346,2.6,1.8
146,강서구,2022-2,27077,25809,862,468,3.2,1.7
147,구로구,2022-2,22218,35555,443,316,2.0,1.4
148,금천구,2022-2,15719,30328,340,252,2.2,1.6
149,영등포구,2022-2,27207,45265,593,399,2.2,1.5
150,동작구,2022-2,15698,46535,377,236,2.4,1.5
151,관악구,2022-2,19883,42119,529,378,2.7,1.9
152,서초구,2022-2,36265,20119,712,487,2.0,1.3
153,강남구,2022-2,56587,35311,1338,882,2.4,1.6
154,송파구,2022-2,37842,36299,951,597,2.5,1.6
155,강동구,2022-2,21381,43184,573,380,2.7,1.8
156,서울시 전체,2022-3,575039,35790,13397,15201,2.3,2.6
157,종로구,2022-3,24758,20461,459,502,1.9,2.0
158,중구,2022-3,36837,45858,447,794,1.2,2.2
159,용산구,2022-3,18942,25914,396,408,2.1,2.2
160,성동구,2022-3,17426,37940,406,430,2.3,2.5
161,광진구,2022-3,19003,50508,475,540,2.5,2.8
162,동대문구,2022-3,20902,64944,425,534,2.0,2.6
163,중랑구,2022-3,16397,49884,460,524,2.8,3.2
164,성북구,2022-3,17119,42050,436,474,2.5,2.8
165,강북구,2022-3,13477,33667,364,400,2.7,3.0
166,도봉구,2022-3,11788,27920,291,345,2.5,2.9
167,노원구,2022-3,18289,24533,456,543,2.5,3.0
168,은평구,2022-3,18599,36400,468,540,2.5,2.9
169,서대문구,2022-3,14913,52360,405,438,2.7,2.9
170,마포구,2022-3,29071,42256,888,835,3.1,2.9
171,양천구,2022-3,18598,44181,420,522,2.3,2.8
172,강서구,2022-3,26977,25494,817,912,3.0,3.4
173,구로구,2022-3,22111,35156,470,556,2.1,2.5
174,금천구,2022-3,15690,29881,380,393,2.4,2.5
175,영등포구,2022-3,27104,44849,645,731,2.4,2.7
176,동작구,2022-3,15591,45182,347,437,2.2,2.8
177,관악구,2022-3,19717,41141,538,691,2.7,3.5
178,서초구,2022-3,36182,19558,634,702,1.8,1.9
179,강남구,2022-3,56542,34971,1258,1261,2.2,2.2
180,송파구,2022-3,37748,35427,969,1042,2.6,2.8
181,강동구,2022-3,21258,42407,543,647,2.6,3.0
