시군구_코드,시군구_코드_명,행정동_코드,행정동_코드_명
,,11410690,서대문구 남가좌1동
,,11410700,서대문구 남가좌2동
,,11410710,서대문구 북가좌1동
,,11410720,서대문구 북가좌2동
,,11410565,서대문구 충현동
,,11410555,서대문구 북아현동
,,11410585,서대문구 신촌동
,,11410615,서대문구 연희동
,,11440590,마포구 용강동
,,11440600,마포구 대흥동
,,11440610,마포구 염리동
,,11440630,마포구 신수동
,,11440660,마포구 서교동
,,11440680,마포구 합정동
,,11440690,마포구 망원1동
,,11440700,마포구 망원2동
,,11440710,마포구 연남동
,,11440720,마포구 성산1동
,,11440730,마포구 성산2동
,,11440740,마포구 상암동
,,11440585,마포구 도화동
,,11440655,마포구 서강동
,,11440565,마포구 공덕동
,,11440555,마포구 아현동
,,11470510,양천구 목1동
,,11470520,양천구 목2동
,,11470530,양천구 목3동
,,11470540,양천구 목4동
,,11470560,양천구 신월1동
,,11470570,양천구 신월2동
,,11470580,양천구 신월3동
,,11470590,양천구 신월4동
,,11470600,양천구 신월5동
,,11470610,양천구 신월6동
,,11470611,양천구 신월7동
,,11470620,양천구 신정1동
,,11470630,양천구 신정2동
,,11470640,양천구 신정3동
,,11470670,양천구 신정6동
,,11470680,양천구 신정7동
,,11470550,양천구 목5동
,,11470650,양천구 신정4동
,,11500510,강서구 염창동
,,11500520,강서구 등촌1동
,,11500530,강서구 등촌2동
,,11500535,강서구 등촌3동
,,11500590,강서구 화곡본동
,,11500550,강서구 화곡2동
,,11500560,강서구 화곡3동
,,11500570,강서구 화곡4동
,,11500591,강서구 화곡6동
,,11500593,강서구 화곡8동
,,11500603,강서구 가양1동
,,11500604,강서구 가양2동
,,11500605,강서구 가양3동
,,11500611,강서구 발산1동
,,11500620,강서구 공항동
,,11500630,강서구 방화1동
,,11500640,강서구 방화2동
,,11500641,강서구 방화3동
,,11500540,강서구 화곡1동
,,11500615,강서구 우장산동
,,11530510,구로구 신도림동
,,11530520,구로구 구로1동
,,11530540,구로구 구로3동
,,11530550,구로구 구로4동
,,11530560,구로구 구로5동
,,11530720,구로구 고척1동
,,11530730,구로구 고척2동
,,11530750,구로구 개봉2동
,,11530760,구로구 개봉3동
,,11530770,구로구 오류1동
,,11530780,구로구 오류2동
,,11530790,구로구 수궁동
,,11530595,구로구 가리봉동
,,11530530,구로구 구로2동
,,11530740,구로구 개봉1동
,,11545510,금천구 가산동
,,11545610,금천구 독산1동
,,11545620,금천구 독산2동
,,11545630,금천구 독산3동
,,11545640,금천구 독산4동
,,11545670,금천구 시흥1동
,,11545680,금천구 시흥2동
,,11545690,금천구 시흥3동
,,11545700,금천구 시흥4동
,,11545710,금천구 시흥5동
,,11560540,영등포구 여의동
,,11560550,영등포구 당산1동
,,11560560,영등포구 당산2동
,,11560610,영등포구 양평1동
,,11560620,영등포구 양평2동
,,11560630,영등포구 신길1동
,,11560650,영등포구 신길3동
,,11560660,영등포구 신길4동
,,11560670,영등포구 신길5동
,,11560680,영등포구 신길6동
,,11560690,영등포구 신길7동
,,11560700,영등포구 대림1동
,,11560710,영등포구 대림2동
,,11560720,영등포구 대림3동
,,11560515,영등포구 영등포본동
,,11560535,영등포구 영등포동
,,11560585,영등포구 도림동
,,11560605,영등포구 문래동
,,11590520,동작구 노량진2동
,,11590530,동작구 상도1동
,,11590540,동작구 상도2동
,,11590550,동작구 상도3동
,,11590560,동작구 상도4동
,,11590620,동작구 사당1동
,,11590640,동작구 사당3동
,,11590650,동작구 사당4동
,,11590651,동작구 사당5동
,,11590660,동작구 대방동
,,11590670,동작구 신대방1동
,,11590680,동작구 신대방2동
,,11590605,동작구 흑석동
,,11590510,동작구 노량진1동
,,11590630,동작구 사당2동
,,11620525,관악구 보라매동
,,11620545,관악구 청림동
,,11620575,관악구 행운동
,,11620585,관악구 낙성대동
,,11620615,관악구 중앙동
,,11620625,관악구 인헌동
,,11620630,관악구 남현동
,,11620645,관악구 서원동
,,11620655,관악구 신원동
,,11620665,관악구 서림동
,,11620685,관악구 신사동
,,11620695,관악구 신림동
,,11620715,관악구 난향동
,,11620725,관악구 조원동
,,11620735,관악구 대학동
,,11620605,관악구 은천동
